seconds,progress,speedKph,exposure,rainParticles,sprayParticles,rainVolume,wetness,roofDepth,fogDensity,culledRain,culledSpray
0.000,0.98482,0.00,1.000,0,0,0.0181,1.000,-100.00,0.00550,0,0
0.253,0.98482,0.00,1.000,421,0,0.1416,1.000,-100.00,0.00550,0,0
0.512,0.98482,0.00,1.000,780,0,0.1767,1.000,-100.00,0.00550,0,0
0.762,0.98482,0.00,1.000,990,0,0.1862,1.000,-100.00,0.00550,0,0
1.020,0.98482,0.00,1.000,989,0,0.1890,1.000,-100.00,0.00550,0,0
1.278,0.98482,0.00,1.000,1006,0,0.1897,1.000,-100.00,0.00550,0,0
1.537,0.98482,0.00,1.000,1005,0,0.1899,1.000,-100.00,0.00550,0,0
1.794,0.98482,0.00,1.000,967,0,0.1900,1.000,-100.00,0.00550,0,0
2.045,0.98482,0.00,1.000,984,0,0.1900,1.000,-100.00,0.00550,0,0
2.303,0.98482,0.00,1.000,1002,0,0.1900,1.000,-100.00,0.00550,0,0
2.562,0.98482,0.00,1.000,998,0,0.1900,1.000,-100.00,0.00550,0,0
2.812,0.98482,0.00,1.000,982,0,0.1900,1.000,-100.00,0.00550,0,0
3.070,0.98482,0.00,1.000,977,0,0.1900,1.000,-100.00,0.00550,0,0
3.328,0.98482,0.00,1.000,965,0,0.1900,1.000,-100.00,0.00550,0,0
3.586,0.98482,0.00,1.000,986,0,0.1900,1.000,-100.00,0.00550,0,0
3.837,0.98482,0.00,1.000,984,0,0.1900,1.000,-100.00,0.00550,0,0
4.094,0.98482,0.00,1.000,974,0,0.1900,1.000,-100.00,0.00550,0,0
4.345,0.98482,0.00,1.000,976,0,0.1900,1.000,-100.00,0.00550,0,0
4.603,0.98482,0.00,1.000,983,0,0.1900,1.000,-100.00,0.00550,0,0
4.861,0.98483,4.51,1.000,977,0,0.1900,1.000,-100.00,0.00550,0,0
5.111,0.98551,33.02,1.000,953,7,0.1900,1.000,-100.00,0.00550,0,0
5.362,0.98726,60.96,1.000,963,39,0.1900,1.000,-100.00,0.00550,0,0
5.612,0.99003,88.14,1.000,966,66,0.1900,1.000,-100.00,0.00550,0,0
5.869,0.99380,114.45,1.000,986,59,0.1900,1.000,-100.00,0.00550,0,0
6.120,0.99852,139.37,1.000,983,60,0.1900,1.000,-100.00,0.00550,0,0
6.378,0.00419,150.52,1.000,937,64,0.1900,1.000,-100.00,0.00550,0,0
6.628,0.00988,156.48,1.000,940,64,0.1900,1.000,-100.00,0.00550,0,0
6.887,0.01616,165.48,1.000,958,65,0.1900,1.000,-100.00,0.00550,0,0
7.137,0.02247,170.28,1.000,970,61,0.1900,1.000,-100.00,0.00550,0,0
7.394,0.02921,173.06,1.000,977,67,0.1900,1.000,-100.00,0.00550,0,0
7.644,0.03580,174.52,1.000,951,66,0.1900,1.000,-100.00,0.00550,0,0
7.903,0.04230,141.36,1.000,972,63,0.1900,1.000,-100.00,0.00550,0,0
8.170,0.04764,139.88,1.000,974,62,0.1900,1.000,-100.00,0.00550,0,0
8.420,0.05339,156.08,1.000,957,64,0.1900,1.000,-100.00,0.00550,0,0
8.678,0.05994,165.36,1.000,981,62,0.1900,1.000,-100.00,0.00550,0,0
8.944,0.06707,170.42,1.000,975,65,0.1900,1.000,-100.00,0.00550,0,0
9.195,0.07373,172.67,1.000,970,65,0.1900,1.000,-100.00,0.00550,0,0
9.445,0.08037,173.66,1.000,978,63,0.1900,1.000,-100.00,0.00550,0,0
9.695,0.08691,157.84,1.000,994,62,0.1900,1.000,-100.00,0.00550,0,0
9.953,0.09222,112.67,1.000,983,60,0.1900,1.000,-100.00,0.00550,0,0
10.211,0.09681,126.83,1.000,963,62,0.1900,1.000,-100.00,0.00550,0,0
10.470,0.10231,149.02,1.000,965,58,0.1900,1.000,-100.00,0.00550,0,0
10.728,0.10826,161.13,1.000,996,54,0.1900,1.000,-100.00,0.00550,0,0
10.978,0.11461,167.88,1.000,1004,51,0.1900,1.000,-100.00,0.00550,0,0
11.236,0.12145,171.69,1.000,985,56,0.1900,1.000,-100.00,0.00550,0,0
11.487,0.12815,173.57,1.000,960,48,0.1900,1.000,-100.00,0.00550,0,0
11.745,0.13519,174.39,1.000,937,55,0.1900,1.000,-100.00,0.00550,0,0
12.003,0.14227,174.48,1.000,962,55,0.1900,1.000,-100.00,0.00550,0,0
12.253,0.14902,174.24,1.000,932,52,0.1900,1.000,-100.00,0.00550,0,0
12.511,0.15598,174.04,1.000,965,48,0.1900,1.000,-100.00,0.00550,0,0
12.778,0.16291,174.11,1.000,955,51,0.1900,1.000,-100.00,0.00550,0,0
