seconds,progress,speedKph,exposure,rainParticles,sprayParticles,rainVolume
0.000,0.98482,0.00,1.000,0,0,0.0181
0.253,0.98482,0.00,1.000,421,0,0.1415
0.512,0.98482,0.00,1.000,780,0,0.1767
0.770,0.98482,0.00,1.000,992,0,0.1863
1.020,0.98482,0.00,1.000,978,0,0.1890
1.278,0.98482,0.00,1.000,997,0,0.1897
1.532,0.98482,0.00,1.000,1007,0,0.1899
1.783,0.98482,0.00,1.000,960,0,0.1900
2.037,0.98482,0.00,1.000,970,0,0.1900
2.295,0.98482,0.00,1.000,1000,0,0.1900
2.545,0.98482,0.00,1.000,994,0,0.1900
2.802,0.98482,0.00,1.000,994,0,0.1900
3.053,0.98482,0.00,1.000,979,0,0.1900
3.303,0.98482,0.00,1.000,979,0,0.1900
3.562,0.98482,0.00,1.000,972,0,0.1900
3.820,0.98482,0.00,1.000,981,0,0.1900
4.078,0.98482,0.00,1.000,985,0,0.1900
4.336,0.98482,0.00,1.000,981,0,0.1900
4.595,0.98482,0.00,1.000,992,0,0.1900
4.853,0.98483,4.51,1.000,981,0,0.1900
5.112,0.98556,34.15,1.000,946,8,0.1900
5.362,0.98735,62.06,1.000,967,38,0.1900
5.612,0.99016,89.21,1.000,982,60,0.1900
5.869,0.99397,115.49,1.000,983,59,0.1900
6.120,0.99873,140.23,1.000,979,59,0.1900
6.370,0.00419,150.52,1.000,952,65,0.1900
6.628,0.01011,156.93,1.000,955,61,0.1900
6.887,0.01641,165.73,1.000,984,66,0.1900
7.144,0.02298,170.55,1.000,1000,63,0.1900
7.395,0.02948,173.14,1.000,1017,66,0.1900
7.653,0.03634,174.61,1.000,1001,63,0.1900
7.911,0.04274,137.62,1.000,1005,62,0.1900
8.170,0.04787,140.72,1.000,976,67,0.1900
8.428,0.05389,157.01,1.000,945,69,0.1900
8.687,0.06048,165.87,1.000,966,63,0.1900
8.953,0.06758,170.67,1.000,960,62,0.1900
9.203,0.07425,172.78,1.000,968,62,0.1900
9.469,0.08117,173.73,1.000,977,66,0.1900
9.728,0.08786,149.85,1.000,971,62,0.1900
9.986,0.09290,111.26,1.000,967,59,0.1900
10.237,0.09740,129.82,1.000,954,61,0.1900
10.487,0.10276,150.27,1.000,991,54,0.1900
10.745,0.10901,162.17,1.000,987,52,0.1900
11.003,0.11565,168.63,1.000,999,52,0.1900
11.261,0.12251,172.08,1.000,964,52,0.1900
11.520,0.12923,173.76,1.000,958,49,0.1900
11.778,0.13629,174.45,1.000,939,48,0.1900
